unique_id,ds,y
1,2026-01-09 14:00:00,23834
1,2026-01-09 14:00:00,2705
1,2026-01-09 14:00:00,99807
1,2026-01-09 14:00:00,18177
1,2026-01-09 14:00:00,2738
1,2026-01-09 14:00:00,2789
1,2026-01-09 14:00:00,2764
1,2026-01-09 14:00:00,6646
1,2026-01-09 14:00:00,6469
1,2026-01-09 14:00:00,164
1,2026-01-09 14:00:00,18483
1,2026-01-09 14:00:00,18177
1,2026-01-09 14:00:00,18483
1,2026-01-09 14:00:00,1488
1,2026-01-09 14:00:00,1466
1,2026-01-09 14:00:00,42894
1,2026-01-09 14:00:00,45415
1,2026-01-09 14:00:00,206
1,2026-01-09 14:00:00,4305
1,2026-01-09 14:00:00,15090
1,2026-01-09 14:00:00,15736
1,2026-01-09 14:00:00,282
1,2026-01-09 14:00:00,24558
1,2026-01-09 14:00:00,78850
1,2026-01-09 14:00:00,83349
1,2026-01-09 14:00:00,95932
1,2026-01-09 14:00:00,99807
1,2026-01-09 14:00:00,3765
1,2026-01-09 14:00:00,2323
1,2026-01-09 14:00:00,3016
1,2026-01-09 14:00:00,1324
1,2026-01-09 14:00:00,1309
1,2026-01-09 14:00:00,15090
1,2026-01-09 14:00:00,15736
1,2026-01-09 14:00:00,2216
1,2026-01-09 14:00:00,2286
1,2026-01-09 14:00:00,77005
1,2026-01-09 14:00:00,262
1,2026-01-09 14:00:00,13982
1,2026-01-09 14:00:00,1804
1,2026-01-09 14:00:00,1801
1,2026-01-09 14:00:00,5102
1,2026-01-09 14:00:00,3961
1,2026-01-09 14:00:00,13612
1,2026-01-09 14:00:00,23830
1,2026-01-09 14:00:00,761
1,2026-01-09 14:00:00,191
1,2026-01-09 14:00:00,168
1,2026-01-09 14:00:00,51
1,2026-01-09 14:00:00,50
1,2026-01-09 14:00:00,51046
1,2026-01-09 14:00:00,39069
1,2026-01-09 14:00:00,784
1,2026-01-09 14:00:00,76246
1,2026-01-09 14:00:00,950
1,2026-01-09 14:00:00,49129
1,2026-01-09 14:00:00,947
1,2026-01-09 14:00:00,12161
1,2026-01-09 14:00:00,11869
1,2026-01-09 14:00:00,373
1,2026-01-09 14:00:00,366
1,2026-01-09 14:00:00,694
1,2026-01-09 14:00:00,6784
1,2026-01-09 14:00:00,7287
1,2026-01-09 14:00:00,23134
1,2026-01-09 14:00:00,24039
1,2026-01-09 14:00:00,315
1,2026-01-09 14:00:00,315
1,2026-01-09 14:00:00,545
1,2026-01-09 14:00:00,22426
1,2026-01-09 14:00:00,31246
1,2026-01-09 14:00:00,2604
1,2026-01-09 14:00:00,1624
1,2026-01-09 14:00:00,1609
1,2026-01-09 14:00:00,5015
1,2026-01-09 14:00:00,1994
1,2026-01-09 14:00:00,4724
1,2026-01-09 14:00:00,2579
1,2026-01-09 14:00:00,8195
1,2026-01-09 14:00:00,8110
1,2026-01-09 14:00:00,29607
1,2026-01-09 14:00:00,27990
